course_code,prerequisites,group_id
CE3001,CZ1106,prereq_group_272
SC1007,SC1003,prereq_group_273
SC2000,MH1810,prereq_group_274
CE2002,CZ1103,prereq_group_275
CE2005,CZ1106|CZ1107,prereq_group_276
CE2101,CE1107|MH1812,prereq_group_277
SC2001,MH1812|SC1007,prereq_group_278
SC2002,SC1003,prereq_group_279
SC2005,SC1006|SC1007,prereq_group_280
SC2104,SC1006,prereq_group_281
SC2107,SC1006,prereq_group_282
CE3005,CE1104|CE2100,prereq_group_283
CE3102,CE1104,prereq_group_284
CE4010,CE2100,prereq_group_285
CE4041,CE1107|CE2100,prereq_group_286
CE4064,CE2006,prereq_group_287
CE4153,CE1107|CE2101|MH1812,prereq_group_288
SC2008,SC1004|SC2000,prereq_group_289
SC3102,SC1004,prereq_group_290
CE4016,CE2101,prereq_group_291
CE4022,CE3005,prereq_group_292
CE4022,CZ3006,prereq_group_293
CE4023,CE3005,prereq_group_294
CE4023,CZ3006,prereq_group_295
CE4031,CE2101|CZ2007,prereq_group_296
CE4032,CE2101,prereq_group_297
CE4042,CE1104|CE1107,prereq_group_298
CE4045,CE2101,prereq_group_299
CE4062,CE2005,prereq_group_300
CV0003,CV1014,prereq_group_301
CV2011,CV1011,prereq_group_302
CV2020,CV1012,prereq_group_303
MH2814,MH1810,prereq_group_304
MH2814,MT1001,prereq_group_305
CV3011,CV2011,prereq_group_306
CV3013,CV2013|CV2014,prereq_group_307
CV3015,CV1012,prereq_group_308
CV4101,CV2012,prereq_group_309
CV4102,CV3012,prereq_group_310
CV4110,CV3013,prereq_group_311
CV4112,CV3014,prereq_group_312
CV4116,CV2020,prereq_group_313
CM2011,CM5000,prereq_group_314
CM2011,CM1001,prereq_group_315
CM2011,CY1101,prereq_group_316
CM2021,CM5000,prereq_group_317
CM2021,CY1101,prereq_group_318
CM2021,CM1001,prereq_group_319
CM2061,CM5000,prereq_group_320
CM2061,CY1101,prereq_group_321
CM2061,CM1001|CM1002,prereq_group_322
CM3011,CM2021|CM2031,prereq_group_323
CM3021,CM2021,prereq_group_324
CM3031,CM2031,prereq_group_325
CM3041,CM2041,prereq_group_326
CM3062,CM2062,prereq_group_327
CM4062,CM2031,prereq_group_328
CM4012,CM3011|CM3021,prereq_group_329
CM4017,CM3041,prereq_group_330
CM4043,CM3041,prereq_group_331
CM4044,PS0001|PS0002,prereq_group_332
CM4044,BS1009|PS0002,prereq_group_333
CM4044,BS0004|BS1009,prereq_group_334
CM4044,BS0004|PS0001,prereq_group_335
CM4053,CM1002|CM2011|CM2031|CM3031,prereq_group_336
CM4063,CM3011,prereq_group_337
HW0206,CC0001,prereq_group_338
HA3010,HA1003,prereq_group_339
HC2015,HC1001,prereq_group_340
HC3014,HC1001,prereq_group_341
HC4016,HC3001,prereq_group_342
HC4020,HC1001,prereq_group_343
HC4058,HC1002|HC1051,prereq_group_344
HC4064,HC1001,prereq_group_345
HL1002,HL1001,prereq_group_346
HL2003,HL1001,prereq_group_347
HL2004,HL1001,prereq_group_348
HL2008,HL1001,prereq_group_349
HL2009,HL1001,prereq_group_350
HL2024,HL1001,prereq_group_351
HL2027,HL1001,prereq_group_352
HL2041,HL1001,prereq_group_353
HL2042,HL1001,prereq_group_354
HL2043,HL1001,prereq_group_355
HW0205,CC0001,prereq_group_356
HL3002,HL1001,prereq_group_357
HL3011,HL1001,prereq_group_358
HL3014,HL1001,prereq_group_359
HL3039,HL1001,prereq_group_360
HL3042,HL1001,prereq_group_361
HL3043,HL1001,prereq_group_362
HL4013,HL1001,prereq_group_363
HL4014,HL1001,prereq_group_364
HL4015,HL1001,prereq_group_365
HL4015,HJ5001,prereq_group_366
