course_code,prerequisites,group_id
CS4042,HP1100,prereq_group_251
CS4050,CS2008,prereq_group_252
CS4075,CS2008,prereq_group_253
CS4090,CS2021,prereq_group_254
CS4150,CS2008,prereq_group_255
CS4317,CS2025,prereq_group_256
CS4319,CS2025,prereq_group_257
CS4043,CS2021,prereq_group_258
CZ2100,MH1810,prereq_group_259
CZ2101,CZ1107|MH1812,prereq_group_260
CZ3002,CZ2006,prereq_group_261
CZ4062,CZ2005,prereq_group_262
CZ4064,CZ2006,prereq_group_263
CZ4124,CZ1103|MH2500,prereq_group_264
CZ4022,CZ3006,prereq_group_265
CZ4023,CE3005,prereq_group_266
MH2500,MH1100|MH1101,prereq_group_267
MH2100,MH1101,prereq_group_268
MH3510,MH2500|MH3500,prereq_group_269
MH4511,MH2500|MH3500,prereq_group_270
MH4513,MH2500|MH3500|MH3510,prereq_group_271
MH4518,MH2500|MH3511,prereq_group_272
HE3010,HE2002,prereq_group_273
HE3022,HE1001,prereq_group_274
HE3001,HE2001,prereq_group_275
HE3002,HE2002,prereq_group_276
HE3004,HE2001|HE2003,prereq_group_277
HE3021,HE1001,prereq_group_278
HE3023,HE1001,prereq_group_279
HE3024,HE1001,prereq_group_280
HE3026,HE2001|HE2003,prereq_group_281
HE3027,HE1001,prereq_group_282
HE3031,HE1001,prereq_group_283
HE3033,HE1001,prereq_group_284
HE3125,HE1001,prereq_group_285
HE4044,HE2001|HE2002,prereq_group_286
HE4140,HE2001,prereq_group_287
MH3512,MH2500,prereq_group_288
MH4510,MH2500|MH3500|MH3510|MH3511,prereq_group_289
MH4702,MH2500|MH3512,prereq_group_290
HE2010,HE1001,prereq_group_291
HE2011,HE1001,prereq_group_292
HE2015,HE2002,prereq_group_293
HE2020,AB1202,prereq_group_294
HE2021,HE1001,prereq_group_295
HE3005,HE1001,prereq_group_296
HE3603,HE1001,prereq_group_297
HE4001,HE2001,prereq_group_298
HE4002,HE2002,prereq_group_299
HA2004,HA1001,prereq_group_300
HA2009,HA1003,prereq_group_301
HA2017,HA2004,prereq_group_302
HA2023,HA1003|HA1012,prereq_group_303
HA2024,HA1003,prereq_group_304
HA3001,HA1003|HA1012,prereq_group_305
HA3015,HA1012,prereq_group_306
HA3018,HA1001|HA1002,prereq_group_307
HA3022,HA1002,prereq_group_308
HA3024,HA1001,prereq_group_309
HA3025,HA1001,prereq_group_310
HA3026,HA1003,prereq_group_311
HA3090,HA1001|HA1012,prereq_group_312
HA4011,HA1003,prereq_group_313
HA4018,HA1003,prereq_group_314
HA4021,HA1002|HA1012,prereq_group_315
HA4022,HA1003,prereq_group_316
HA4030,HA1001,prereq_group_317
HA4042,HA1001,prereq_group_318
HA4043,HA1001,prereq_group_319
HA4046,HA1011|HA1012,prereq_group_320
HA4065,HA2026,prereq_group_321
HA4067,HA1001,prereq_group_322
HP4041,HP1000|HP1100|HP2100|HP2400,prereq_group_323
HP4061,HP1000|HP1100|HP2600,prereq_group_324
IE2007,MH1811,prereq_group_325
IE2010,MH1810|MH1811,prereq_group_326
IE2106,MH1811,prereq_group_327
EE3013,EE2103,prereq_group_328
EE3019,EE2102,prereq_group_329
EE4268,EE3011,prereq_group_330
EE4503,EE3010|EE3015,prereq_group_331
EE4530,EE2005|EE3015,prereq_group_332
EE4532,EE2005|EE3015,prereq_group_333
EE4613,EE3013,prereq_group_334
ES1006,ES1001,prereq_group_335
ES2302,ES2003,prereq_group_336
ES3003,ES1003,prereq_group_337
ES3102,ES2001|ES2002|ES2004|ES2802,prereq_group_338
ES3202,ES2802,prereq_group_339
ES3306,ES2303,prereq_group_340
ES4010,ES1001,prereq_group_341
